item_id,count
0,1
1,6
2,2
3,2
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,42
28,86
29,14
30,1383
31,1110
32,1884
33,830
34,122
35,180
36,82
37,145
38,70
39,7
40,94
41,43
42,109
43,9
44,103
45,174
46,46
47,55
48,61
49,186
50,2
51,228
52,65
53,188
54,40
55,94
56,39
57,158
58,1
59,241
60,39
61,12
62,74
63,18
64,94
65,45
66,59
67,182
68,1
69,78
70,102
71,29
72,58
73,9
74,25
75,51
76,301
77,709
78,123
79,38
80,6
81,25
82,9
83,0
84,10
85,112
86,3
87,27
88,43
89,28
90,282
91,156
92,3
93,165
94,11
95,13
96,63
97,119
98,350
99,97
100,65
101,7
102,2
103,2
104,2
105,1
106,1
107,2
108,2
109,114
110,2
111,46
112,3
113,148
114,1
115,21
116,1
117,2
118,3
119,1
120,1
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,1
129,2
130,1
131,2
132,2
133,31
134,1
135,1
136,3
137,1
138,2
139,1
140,0
141,1
142,6
143,2
144,1
145,1
146,1
147,1
148,1
149,175
150,4
151,28
152,29
153,149
154,271
155,234
156,236
157,3
158,3
159,1
160,1
161,3
162,1
163,2
164,1
165,1
166,54
167,1
168,0
169,1
170,2
171,1
172,1
173,0
174,1
175,3
176,2
177,49
178,1
179,1
180,1
181,1
182,2
183,1
184,1
185,1
186,2
187,1
188,1
189,2
190,1
191,2
192,1
193,1
194,1
195,2
196,2
197,78
198,5
199,90
200,5
201,1
202,124
203,1
204,0
205,9
206,1
207,1
208,1
209,1
210,64
211,1
212,1
213,197
214,2
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,14
225,11
226,86
227,1
228,96
229,1
230,60
231,1
232,1
233,1
234,23
235,1
236,1
237,0
238,2
239,1
240,1
241,1
242,1
243,2
244,5
245,1
246,28
247,1
248,14
249,0
250,1
251,3
252,1
253,83
254,0
255,1
256,3
257,107
258,148
259,161
260,2
261,1
262,2
263,3
264,2
265,9
266,2
267,25
268,1
269,31
270,1
271,3
272,4
273,2
274,2
275,1
276,75
277,9
278,1
279,1
280,1
281,2
282,56
283,4
284,5
285,1
286,1
287,1
288,1
289,1
290,1
291,2
292,20
293,67
294,44
295,20
296,2
297,4
298,27
299,11
300,1
301,2
302,0
303,1
304,1
305,1
306,54
307,1
308,203
309,2
310,1
311,1
312,1
313,56
314,2
315,1
316,4
317,17
318,1
319,1
320,72
321,16
322,9
323,2
324,5
325,168
326,1
327,1
328,1
329,13
330,4
331,1
332,1
333,2
334,5
335,2
336,3
337,1
338,3
339,3
340,1
341,2
342,1
343,3
344,3
345,2
346,2
347,2
348,1
349,1
350,1
351,12
352,1
353,3
354,18
355,1
356,8
357,47
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,7
367,1
368,1
369,1
370,1
371,23
372,14
373,67
374,1
375,10
376,1
377,1
378,4
379,1
380,1
381,2
382,1
383,1
384,69
385,98
386,1
387,11
388,117
389,22
390,2
391,2
392,36
393,1
394,3
395,2
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,2
404,1
405,12
406,2
407,93
408,122
409,2
410,149
411,1
412,1
413,117
414,14
415,1
416,1
417,1
418,1
419,1
420,1
421,88
422,1
423,5
424,5
425,1
426,1
427,1
428,0
429,3
430,0
431,1
432,2
433,1
434,1
435,13
436,1
437,1
438,33
439,18
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,158
449,1
450,1
451,15
452,1
453,6
454,0
455,2
456,1
457,1
458,1
459,1
460,11
461,1
462,1
463,1
464,989
465,1
466,1
467,1
468,1
469,1
470,12
471,178
472,687
473,14
474,42
475,18
476,4
477,39
478,67
479,77
480,0
481,94
482,2326
483,7
484,617
485,1971
486,1363
487,1
488,10
489,1
490,12
491,705
492,801
493,98
494,138
495,2
496,288
497,47
498,95
499,2
500,1
